"Title","Address","Decision","Decision Date"
"Evanston Marathon","3601 Montgomery Road, Cincinnati, OH 45207","Withdrawal","10/10/2018"
"EZ Grocery Store Inc.","9 Walker St., Staten Island, NY 10302","Permanent Disqualification","10/22/2018"
"EZ Way Shopping","4700 E. Lancaster Ave., Fort Worth, TX 76103","Denial","10/31/2018"
"F&L Mini Market Corp.","1690 Lexington Ave., New York, NY 10029","Permanent Disqualification","10/03/2018"
"Fairview Market","609 Ming Ave., Bakersfield, CA 93307","Permanent Disqualification","10/03/2018"
"Flat Shoals Food Mart","3402 Flat Shoals Road, Decatur, GA 30034","Withdrawal","10/31/2018"
"Food Center","277 Walnut St., Macon, GA 31201","Withdrawal","10/18/2018"
"Fresh Fish House #2 Inc.","11820 Woodward Ave., Highland Park, MI 48203","Withdrawal","10/03/2018"
"Fuel Trip","10416 Blue Ridge Blvd., Kansas City, MO 64134","Withdrawal","10/17/2018"
"G&K Food Corp.","3399 Broadway, New York, NY 10031","Permanent Disqualification","10/16/2018"
"Gadsden Food Mart","301 W. Meighan Blvd., Gadsden, AL 35901","Withdrawal","10/01/2018"
"Gomez Mini Market","1714 S. 10th St., Camden, NJ 08104","Permanent Disqualification","10/18/2018"
"Healthy AF Nutrition LLC","3230 Sonoma Court, Dekalb, IL 60115","Denial","10/01/2018"
"Healthy Baking Co.","24606 W. Warren St., Dearborn Heights, MI 48127","Withdrawal","10/01/2018"
"Hines Bare Bones Smoke & Gift LLC","306 N. Highway 20, Hines, OR 97738","Denial","10/25/2018"
"Ideal Market","2036 Market St., Oakland, CA 94607","Civil Money Penalty","10/04/2018"
"III King Enterprises","1120 Fulton Ave.,     Suite A, Sacramento, CA 95825","Denial","10/25/2018"
"Indo-Pak Grocery","6989 Highway 85 ,     Suite A, Riverdale, GA 30274","Permanent Disqualification","10/12/2018"
"Jass Inc.","2146 Hoyt St., Muskegon, MI 49444","Denial","10/30/2018"
"Justyn Enterprises Inc.","101 W. Lehigh Ave., Philadelphia, PA 19133","Denial","10/31/2018"
"K&S Convenience","1120 Spring Hill Ave., Mobile, AL 36604","Withdrawal","10/31/2018"
"Keystone Market","409 S. Broadway St., Johnson City, TN 37601","Withdrawal","10/10/2018"
"La Caridad Supermarket Inc.","3709 N. Sharon Amity Road, Charlotte, NC 28205","Denial","10/24/2018"
"Last Stop","132 S. Seventh St., Allentown, PA 18101","Permanent Disqualification","10/31/2018"
"Latino Food Store","5319 N. State Road 7, Fort Lauderdale, FL 33319","Permanent Disqualification","10/24/2018"
"Lomack's Quick Shop","3323 Wunder Ave., Cincinnati, OH 45211","Withdrawal","10/29/2018"
"Lopez Lucky7 Food Market","54 N. 57th St., Philadelphia, PA 19139","Permanent Disqualification","10/26/2018"
"Mega Mini Mart","2539 E. Ozark Ave., Gastonia, NC 28054","Permanent Disqualification","10/02/2018"
"Melo Baez Food Corp.","413 Lefferts Ave., Brooklyn, NY 11225","Permanent Disqualification","10/15/2018"
"Mike's Market & Restaurant","4202 Benning Road NE, Washington, DC 20019","Civil Money Penalty","10/10/2018"
"Mike's Mini Mart","8917 MacArthur Blvd., Oakland, CA 94605","Permanent Disqualification","10/30/2018"
"Mr Jiff Convenience Store","2630 E. Cherokee Ave., Sallisaw, OK 74955","Withdrawal","10/31/2018"
"Nebraska Chevron #1","13502 N. Nebraska Ave., Tampa, FL 33613","Denial","10/12/2018"
"Neighbors Mini Market","180 W. Runyon St., Newark, NJ 07108","Permanent Disqualification","10/23/2018"
"New Blondie Food 2 Corp.","421 Columbia St., Brooklyn, NY 11231","Permanent Disqualification","10/19/2018"
"Noble Halal Market","885 Gray Ave., Yuba City, CA 95991","Denial","10/10/2018"
"Northlake Shell","70 E. North Ave., Northlake, IL 60164","Withdrawal","10/10/2018"
"Nunez Grocery","1544 Christian St., Philadelphia, PA 19146","Withdrawal","10/02/2018"
"One Food Stop Marketplace","350 SW 109th Ave., Miami, FL 33174","Permanent Disqualification","10/30/2018"
"One Stop Liquor","11618 Buckeye Road, Cleveland, OH 44120","Withdrawal","10/24/2018"
"Palatka Chevron #47809","2001 Reid St., Palatka, FL 32177","Denial","10/29/2018"
"Panaderia La Mexicana","411 S. Azusa Ave., La Puente, CA 91744","Withdrawal","10/01/2018"
"Panaderia La Triguena Bakery","161 E. Yosemite Ave., Manteca, CA 95336","Term Disqualification","10/15/2018"
"Pantry 1 Torresdale Inc.","5236 Torresdale Ave., Philadelphia, PA 19124","Term Disqualification","10/17/2018"
"Penny Profit Store","6422 N. Western Ave., Chicago, IL 60645","Term Disqualification","10/30/2018"
"Peralta Supermarket #1","610 15th Ave., Newark, NJ 07103","Denial","10/29/2018"
"Perfect Food & Gas 1 Inc.","720 Walnut St., Chelsea, OK 74016","Denial","10/16/2018"
"PJ Discount","963 E. Silver Springs Blvd., Ocala, FL 34470","Withdrawal","10/15/2018"
"Pontotoc Mini Mart","152 Highway 15 S, Pontotoc, MS 38863","Withdrawal","10/15/2018"
"Quick Stop Convenience Store","1125 Willard Ave., Newington, CT 06111","Term Disqualification","10/22/2018"
"Quick Stop Food Mart #1","889 Carew St., Springfield, MA 01104","Civil Money Penalty","10/11/2018"
"Quick Stop Market","219 W. C St., Silverton, OR 97381","Withdrawal","10/25/2018"
"Quick Track #13","1501 Pipeline Road E, Bedford, TX 76022","Withdrawal","10/22/2018"
"Quick Track #27","2717 Lamar Ave., Paris, TX 75460","Withdrawal","10/19/2018"
"Quick Track #41","360 NW Front St., De Kalb, TX 75559","Withdrawal","10/22/2018"
"Rapids Discount Grocery & More","930 Pepper Ave., Wisconsin Rapids, WI 54494","Denial","10/12/2018"
"Red River Midway Marina","3185 Highway 477, Natchitoches, LA 71457","Withdrawal","10/26/2018"
"Richmond Emporium","1307 Arthur Kill Road, Staten Island, NY 10312","Term Disqualification","10/02/2018"
"Rocky Mart","1003 W. Nob Hill Blvd., Yakima, WA 98902","Denial","10/30/2018"
"S&N Bhuiyan Corp.","3715 55th St., Woodside, NY 11377","Denial","10/18/2018"
"S&S Deli","4600 Winton Road, Cincinnati, OH 45232","Withdrawal","10/09/2018"
"Sab Food Store LLC","73 Pratt St., Meriden, CT 06450","Civil Money Penalty","10/09/2018"
"Salome's","490 Hidalgo St., San Benito, TX 78586","Permanent Disqualification","10/25/2018"
"Sam Food Mart","7402 Mount Zion Blvd.,     Suite A, Jonesboro, GA 30236","Withdrawal","10/22/2018"
"Sam's Food Market","3702 Laura Koppe Road, Houston, TX 77093","Permanent Disqualification","10/01/2018"
"Sandy Cross Citgo","2073 N. Highway 49, Burlington, NC 27217","Denial","10/01/2018"
"Sassys On 7th Street #1","806 E. Seventh St., Los Angeles, CA 90021","Term Disqualification","10/12/2018"
"Shop & Carry","1301 Lindley Ave., Philadelphia, PA 19141","Permanent Disqualification","10/23/2018"
"South Park Mini Mart","594 S. Main St., Fall River, MA 02721","Permanent Disqualification","10/31/2018"
"South Street Express","460 E. South St., Akron, OH 44311","Denial","10/18/2018"
"Speedy Food Mart","1920 Parental Home Road, Jacksonville, FL 32216","Withdrawal","10/17/2018"
"Speedys Convenience #1","4007 Frederick Ave., Saint Joseph, MO 64506","Withdrawal","10/11/2018"
"St. George Market #2","703 Rivergate Parkway, Goodlettsville, TN 37072","Withdrawal","10/10/2018"
"Stampede Market & Grill #1","234 E. Elm St., Alton, IL 62002","Permanent Disqualification","10/03/2018"
"Sun Food Mart","3601 W. Cermak Road, Chicago, IL 60623","Permanent Disqualification","10/01/2018"
"Super Conveniences Store","469 Hartford Road, Manchester, CT 06040","Permanent Disqualification","10/18/2018"
"Sweet & Sweeter Inc.","4059 17 Mile Road, Sterling Heights, MI 48310","Denial","10/03/2018"
"The Crabhouse","4563 Memorial Drive,     Suite C, Decatur, GA 30032","Denial","10/29/2018"
"Thru Mart  - Quicky's","35652 Vine St., Willowick, OH 44095","Withdrawal","10/17/2018"
"Times Market","3518 Up River Road, Corpus Christi, TX 78408","Withdrawal","10/10/2018"
"TL Tobacco & Market","301 Turk St., San Francisco, CA 94102","Permanent Disqualification","10/09/2018"
"Twae Ji 4 Inc.","1501 SE Sedgwick Road, Port Orchard, WA 98366","","10/23/2018"
"Twin Gourmet Deli Inc.","1007 E. 163rd St., Bronx, NY 10459","Term Disqualification","10/29/2018"
"United Crab & Seafood LLC","6010 Liberty Road, Gwynn Oak, MD 21207","Withdrawal","10/31/2018"
"USA Grocery Deli 1 Inc.","335 Clinton Ave., Albany, NY 12210","Permanent Disqualification","10/24/2018"
"U-Save Fuel Express","12102 Hempstead Road, Houston, TX 77092","Term Disqualification","10/11/2018"
"VIP Discount Store","4981 University Ave., San Diego, CA 92105","Withdrawal","10/02/2018"
"Weedpatch Chevron","8100 E. Brundage Lane, Bakersfield, CA 93307","Withdrawal","10/16/2018"
"Wenger Meats & Ice Co.","511 E. Louther St., Carlisle, PA 17013","Withdrawal","10/25/2018"
"Winton Shell","8151 Winton Road, Cincinnati, OH 45224","Term Disqualification","10/01/2018"
"Woodman BP","501 Woodman Drive, Dayton, OH 45431","Withdrawal","10/15/2018"
"Woods Ribs & Fish Market Inc.","G5037 N. Saginaw St., Flint, MI 48505","Withdrawal","10/11/2018"
"Wooster Street Market","70 Wooster St., Shelton, CT 06484","Permanent Disqualification","10/22/2018"
"Wyman's Liquor","9300 Firestone Blvd., Downey, CA 90241","Withdrawal","10/26/2018"
"3-H Market","731 S. B St., Madera, CA 93638","Permanent Disqualification","11/27/2018"
"4th Street Deli Inc.","248 Washington Ave., New Rochelle, NY 10801","Permanent Disqualification","11/14/2018"
"5th & Spruce Market Inc.","246 S. Fifth St., Reading, PA 19602","Permanent Disqualification","11/19/2018"
"18th Ave. Market","6600 NW 18th Ave., Miami, FL 33147","Term Disqualification","11/13/2018"
"358 Famous Deli LLC","1224 Morris Ave., Bronx, NY 10456","Term Disqualification","11/28/2018"
"A&A Petro Mart Inc.","20581 Mound Road, Detroit, MI 48234","Withdrawal","11/29/2018"
"A-1 Gas & Food Mart #1","1318 Highway 401 Business, Raeford, NC 28376","Withdrawal","11/06/2018"
"AAA Biz Net Inc. - AAA Deli & Grocery","978 Longwood Ave., Bronx, NY 10459","Civil Money Penalty","11/02/2018"
"Action Food","1399-B W. Main St., West Union, SC 29696","Withdrawal","11/07/2018"
"Akiva Grocery & Poultry Inc.","409 Avenue U, Brooklyn, NY 11223","Permanent Disqualification","11/23/2018"
"Al Gourmet Delicatessen Corp.","9106 Van Wyck Expressway, Richmond Hill, NY 11418","Permanent Disqualification","11/01/2018"
"Al Madina Deli & Grocery Inc.","12610 Jamaica Ave., Richmond Hill, NY 11418","Term Disqualification","11/05/2018"
"Albsheer Deli Inc.","10401 150th St., Jamaica, NY 11435","Permanent Disqualification","11/05/2018"
"Alkosh Market Inc.","2200 W. Third St., Yuma, AZ 85364","Withdrawal","11/05/2018"
"Altoona General Store LLC","2932 Main St., Altoona, AL 35952","Denial","11/28/2018"
"AM PM","451 E. Lerdo Highway, Shafter, CA 93263","Withdrawal","11/15/2018"
"Aman One LLC","870 S. Jonesville Highway, Jonesville, SC 29353","Denial","11/26/2018"
"An's Market #3","4237 Kostoryz Road, Corpus Christi, TX 78415","Withdrawal","11/08/2018"
"ANS Liquor dba ANS Market & Liquor","1196 S. Lorena St., Los Angeles, CA 90023","Term Disqualification","11/07/2018"
"Any Item 99  Plus","2401 Highland Ave.,     Suite 101, National City, CA 91950","Permanent Disqualification","11/29/2018"
"ASL Enterprise","1929 Holtville Road, Wetumpka, AL 36092","Withdrawal","11/05/2018"
"Aum Jay Shree Ganesha LLC","2551 Gallia St., Portsmouth, OH 45662","Denial","11/28/2018"
"B&G Supermarket","43 Market St., Passaic, NJ 07055","Civil Money Penalty","11/26/2018"
"Bakery Bread from Heaven II LLC","1864 E. Main St., Waterbury, CT 06705","Withdrawal","11/01/2018"
"Bbb Deli Grocery Corp.","214B E. 180th St., Bronx, NY 10457","Permanent Disqualification","11/08/2018"
"Big Apple","1943 W. Silver Springs Blvd., Ocala, FL 34475","Withdrawal","11/05/2018"
"Black Kettle Cajun Meats & Market LLC","825 Highway 90, Patterson, LA 70392","Denial","11/30/2018"
"Blue Crab Trading Co.","1318 Dauphin Island Parkway, Mobile, AL 36605","Denial","11/02/2018"
"Blue Whale Foodmart","2910 N. Division St., Spokane, WA 99207","Denial","11/27/2018"
"Bonitos Market","9937 Long Beach Blvd., Lynwood, CA 90262","Term Disqualification","11/19/2018"
"396-398 North Avenue LLC dba United Gourmet Deli","396 North Ave., New Rochelle, NY 10801","Term Disqualification","10/23/2018"
"Xpress Food Mart","504 Arnold Mill Road, Woodstock, GA 30188","Withdrawal","10/17/2018"
"Yanamai LLC dba Stop N Save","844  W. Montgomery St., Milledgeville, GA 31061","Withdrawal","10/25/2018"
"Yolanda’s Pizza Deli & Bakery","17 Hawthorne Ave., Derby, CT 06418","Civil Money Penalty","10/25/2018"
"YP Groceries Store","1601 N. Fourth St., Harrisburg, PA 17102","Permanent Disqualification","10/10/2018"
"627 Garden Gourment Deli Corp.","627 E. Tremont Ave., Bronx, NY 10457","Permanent Disqualification","11/01/2018"
"B&T Convenient & Liqour Store","2704 Florence Blvd., Omaha, NE 68110","Withdrawal","11/09/2018"
"Bo's Seafood Too","4862 Highway 1, Napoleonville, LA 70390","Denial","11/13/2018"
"Broadway Liquor","102 N. Broadway Street, Fresno, CA 93701","Civil Money Penalty","11/06/2018"
"Campbell Speed Check","2209 Wilson Ave., Campbell, OH 44405","Permanent Disqualification","11/26/2018"
"Chak90 Inc.","220 S. Dixie Highway W, Pompano Beach, FL 33060","Withdrawal","11/08/2018"
"Chandanithree LLC","3340 Clifton Church Road SE, Atlanta, GA 30316","Denial","11/27/2018"
"Cici LLC #1","385 Roosevelt Drive, Seymour, CT 06483","Denial","11/06/2018"
"Cigarette Mart","1600 Sacramento Ave., Suite 2, West Sacramento, CA 95605","Permanent Disqualification","11/30/2018"
"City Food","3751 W. Armitage Ave., Chicago, IL 60647","Civil Money Penalty","11/05/2018"
"City Food","21 N. 7th Street, Haines City, FL 33844","Denial","11/26/2018"
"Clark of Port Huron","1035 Lapeer Ave., Port Huron, MI 48060","Permanent Disqualification","11/07/2018"
"College Oil & Gas Inc.","4567 S. Congress Ave., Lake Worth, FL 33461","Withdrawal","11/13/2018"
"Continental Bakery #3","10421 Laurel Canyon Blvd., Pacoima, CA 91331","Denial","11/08/2018"
"Cottage Mini Mart","6123 26th Street W, Bradenton, FL 34207","Term Disqualification","11/20/2018"
"Country Food","6123 26th Street W, Bradenton, FL 34207","Withdrawal","11/16/2018"
"Creswell AM PM #5930","305 E. Oregon Ave., Creswell, OR 97426","Withdrawal","11/14/2018"
"D&R Convenience Store","6718 Plateau Road, Crossville, TN 38571","Withdrawal","11/30/2018"
"Davis Wine & Spirits","1046 Olive Drive, Davis, CA 95616","Permanent Disqualification","11/23/2018"
"Dexter Mart LLC","12340 Dexter Ave., Detroit, MI 48206","Denial","11/05/2018"
"","401 S. Main St., Harrisburg, IL 62946","Denial","11/06/2018"
"Discount Tobacco & Beer Outlet","2101 Crystal Drive, Fort Myers, FL 33907","Permanent Disqualification","11/07/2018"
"Discount Zone LLC","6349 Highway 11 N, Picayune, MS 39466","Withdrawal","11/08/2018"
"Dollar Plus Grocery","2101 Alabama Ave. SE, Washington, DC 20020","Permanent Disqualification","11/15/2018"
"Don Juan Tienda Mexicana #2","136 Beroth St., Yadkinville, NC 27055","Civil Money Penalty","11/05/2018"
"Don Marto Mini Market Corp.","2143 Amsterdam Ave., New York, NY 10032","Civil Money Penalty","11/07/2018"
"Eazy A Market","395 W. 11th Ave., Eugene, OR 97401","Denial","11/20/2018"
"El Patron Supermarket","1445 US Highway 17 S, Bartow, FL 33830","Denial","11/27/2018"
"El Supermercado Martinez","4301 S. Archer Ave., Chicago, IL 60632","Permanent Disqualification","11/26/2018"
"Erv's Meat Market","229 S. Main St., Jersey Shore, PA 17740","Denial","11/09/2018"
"E-Z Stop Cigarettes & Liquor","500 Roberts Lane, Bakersfield, CA 93308","Withdrawal","11/20/2018"
"Family Express Deli & Grocery","112 Watkins St., Brooklyn, NY 11212","Permanent Disqualification","11/20/2018"
"Fast Lane Party Store","1720 Buchanan Ave. SW, Grand Rapids, MI 49507","Term Disqualification","11/29/2018"
"Fish Express Inc.","12555 Grand River Ave. ,     Suite 400, Detroit, MI 48204","Withdrawal","11/07/2018"
"Five Points Deli & Desserts","1201 Queen St., New Bern, NC 28560","Denial","11/29/2018"
"Food Point","1291 NW 103rd St., Miami, FL 33147","Withdrawal","11/14/2018"
"Fortune Plus Trading Corp.","4510 Eighth Ave., Brooklyn, NY 11220","Term Disqualification","11/29/2018"
"Fresh Food Bazar Inc.","7614 Woodside Ave., Elmhurst, NY 11373","Term Disqualification","11/05/2018"
"Gene's Market","3535 S. Normandie Ave., Los Angeles, CA 90007","Term Disqualification","11/05/2018"
"Great Crescent Oil LLC","1358 W. Nine Mile Road, Ferndale, MI 48220","Withdrawal","11/08/2018"
"Guimond Farms","105 Rhode Island Ave., Fall River, MA 02724","Term Disqualification","11/21/2018"
"H&M Market","10017 W. Montgomery Road, Houston, TX 77088","Permanent Disqualification","11/09/2018"
"Happy Time Corp.","1647 Eighth St., Oakland, CA 94607","Permanent Disqualification","11/15/2018"
"Hellen Deli Grocery Corp.","1420 Clay Ave., Bronx, NY 10456","Term Disqualification","11/07/2018"
"HMP Food Store","2201 Main St., Vancouver, WA 98660","","11/05/2018"
"Igla Inc.","420 Foster Ave., Brooklyn, NY 11230","Term Disqualification","11/13/2018"
"Jay's Mini Mart","2239 Leavitt Road, Lorain, OH 44052","Permanent Disqualification","11/05/2018"
"Lane Express Food Mart II","601 Riverside Drive, Lincolnton, NC 28092","Denial","11/05/2018"
"D'elia's Bakery","272 Franklin St., Norwich, CT 06360","Withdrawal","11/01/2018"
"JC Mini Market","500  Devereaux Ave., Philadelphia, PA 19111","Civil Money Penalty","11/13/2018"
"Jiwab LLC","2425 Isleta Blvd. SW, Albuquerque, NM 87105","Denial","11/13/2018"
"Josef Bakery #1","4704  Gravois Ave., Saint Louis, MO 63116","Permanent Disqualification","11/16/2018"
"Judson Deli","4147 Lee Road, Cleveland, OH 44128","Denial","11/28/2018"
"K&V Inc.","321 W. Morgan St., Martinsville, IN 46151","Permanent Disqualification","11/30/2018"
"Karen Family Asian Market #001","1517 Oxford St., Worthington, MN 56187","Term Disqualification","11/20/2018"
"Kate Grocery","657 E. Main St., Bridgeport, CT 06608","Permanent Disqualification","11/13/2018"
"Keven Food Corp.","84 Academy St., Poughkeepsie, NY 12601","Permanent Disqualification","11/26/2018"
"Kinsey Food Market 2 Inc.","1901 Kinsey St., Philadelphia, PA 19124","Permanent Disqualification","11/27/2018"
"Kinsman Shell","9203 Kinsman Road, Cleveland, OH 44104","Withdrawal","11/30/2018"
"Kirat Inc.","2805 Lee Road, Lithia Springs, GA 30122","Denial","11/14/2018"
"Kooskia Mart","101 S. Main St., Kooskia, ID 83539","Withdrawal","11/29/2018"
"KP Stop N Go","3501 S. Murray Ave., Anderson, SC 29624","Denial","11/08/2018"
"Kwik Stop 7","4980 Hall Road, Orlando, FL 32817","Withdrawal","11/20/2018"
"La Familia Deli Market Corp.","281 E. 170th St., Bronx, NY 10456","Term Disqualification","11/07/2018"
"Latino Supermarket","13115 Crieffe Road, Houston, TX 77039","Permanent Disqualification","11/08/2018"
"Leanna Market","4303 Sulphur Springs Road, Murfreesboro, TN 37129","Withdrawal","11/30/2018"
"Lilian Smoke Shop & Deli 2 Inc.","519 Main St., Poughkeepsie, NY 12601","Term Disqualification","11/08/2018"
"Little Sac Grocery","1105 Brooks St., Maysville, KY 41056","Term Disqualification","11/14/2018"
"Los Santanita Market","105 Reservoir Ave., Providence, RI 02907","Term Disqualification","11/21/2018"
"Lucky Diaz Mini Market Inc.","3518 Broadway, New York, NY 10031","Civil Money Penalty","11/21/2018"
"Luna Grocery & Deli","100 W. Jackson St., York, PA 17401","Permanent Disqualification","11/24/2018"
"M&Y Grocery LLC","220 Howe Ave., Passaic, NJ 07055","Permanent Disqualification","11/20/2018"
"Manny's Grocery Store","4644 Dodge St., Omaha, NE 68132","Denial","11/13/2018"
"Miami Foods","1659 W. 69th St., Chicago, IL 60636","Civil Money Penalty","11/16/2018"
"MLK Last Stop","1597 N. Martin Luther King Jr. Drive, Decatur, IL 62526","Civil Money Penalty","11/19/2018"
"Mobile Food Mart","1085 Irwin Bridge Road NW, Conyers, GA 30012","Withdrawal","11/06/2018"
"Morton Gas & Food Inc. #832","832 W. Illinois Ave., Aurora, IL 60506","Withdrawal","11/06/2018"
"New Diamond Food Store dba Diamond D Food Store","1345 Kathleen Road, Lakeland, FL 33805","Withdrawal","11/28/2018"
"New Port Richey Food Mart","8549 Old County Road 54, New Port Richey, FL 34653","Permanent Disqualification","11/19/2018"
"NMC LLC","331 Cottingham Blvd. S, Bennettsville, SC 29512","Denial","11/20/2018"
"Odessa Deli","11415 E. Trent Ave., Spokane Valley, WA 99206","Civil Money Penalty","11/07/2018"
"Old Shell Chevron","2150 Old Shell Road, Mobile, AL 36607","Withdrawal","11/15/2018"
"Om Foods LLC","873 Cranston St., Cranston, RI 02920","Denial","11/19/2018"
"Pac N Sac Thompson","5006 Paluxy Drive, Tyler, TX 75703","Withdrawal","11/16/2018"
"Panaderia Salvadorena","3401 E. Lake Mead Blvd., North Las Vegas, NV 89030","Withdrawal","11/27/2018"
"Parkers Minit Mart","10 Linda Lane, Carrollton, GA 30117","Permanent Disqualification","11/15/2018"
"Pats-U-Pak-It","20150 Highway 36, Covington, LA 70433","Withdrawal","11/19/2018"
"Paul Food Mart Inc.","4912 Vanguard Drive, Sheboygan, WI 53083","Denial","11/14/2018"
"Paulino Mini Market","254 S. Fourth St., Reading, PA 19602","Permanent Disqualification","11/21/2018"
"Petra Oil Inc.","1113 Salisbury St., Saint Louis, MO 63107","Denial","11/09/2018"
"Pharmacy of OC","7772 Warner Ave. ,     Suite 102, Huntington Beach, CA 92649","Denial","11/29/2018"
"Pilar Mini Market","514 Park Ave., Paterson, NJ 07504","Term Disqualification","11/05/2018"
"Pineville Fast Stop","911 Melrose St., Pineville, LA 71360","Permanent Disqualification","11/28/2018"
"Pit N Go #3","361 Frederick St., Cumberland, MD 21502","Term Disqualification","11/08/2018"
"Pit Stop One","1708 Youngstown-Warren Road, Warren, OH 44484","Withdrawal","11/08/2018"
"Pitstop EZ Mart","3405 Vannest Ave., Middletown, OH 45042","Withdrawal","11/08/2018"
"Poor Boy's Produce Market","110 Gullett Branch Road, Salyersville, KY 41465","Permanent Disqualification","11/15/2018"
"Pop Shoppe","4640 Old Pineville Road, Charlotte, NC 28217","Withdrawal","11/28/2018"
"Potton Park Market","4796 Highway 100, Lyles, TN 37098","Withdrawal","11/06/2018"
"Quality Halal Meat Market","201 S. 52nd St., Philadelphia, PA 19139","Withdrawal","11/27/2018"
"Quik Pik #5","4601 Saint Stephens Road, Eight Mile, AL 36613","Withdrawal","11/26/2018"
"Quick Shop #4","4732 State Ave., Kansas City, KS 66102","Withdrawal","11/14/2018"
"Quick Track #3","1508 W. Mayfield Road, Arlington, TX 76015","Withdrawal","11/07/2018"
"Quick Track #17","906 W. Main St., Clarksville, TX 75426","Withdrawal","11/07/2018"
"Quick Track #18","105 Broadway, Bogata, TX 75417","Withdrawal","11/28/2018"
"Quick Track #37","1701 S. Henderson Blvd., Kilgore, TX 75662","Withdrawal","11/08/2018"
"Quick Track #38","201 S. Commerce St., Overton, TX 75684","Withdrawal","11/21/2018"
"Quick Track #42","8966 US Highway 271 N, Gilmer, TX 75644","Withdrawal","11/21/2018"
"Quick Track #51 dba Quick Track Dierks Inc.","504 Front St., Dierks, AR 71833","Withdrawal","11/21/2018"
"R&A Group LLC dba 786 Pantry","4534 W. North Ave., Milwaukee, WI 53208","Denial","11/28/2018"
"Red Carpet Liquor & Lotto","1508 W. El Camino Ave., Sacramento, CA 95833","Withdrawal","11/20/2018"
"Reynolds Mini Mart","522 S. Reynolds Road, Toledo, OH 43615","Civil Money Penalty","11/05/2018"
"Richard's Fruit & Vegetable Mexican Produce","1356 Jerome Ave., Bronx, NY 10452","Term Disqualification","11/19/2018"
"Richy Deli Grocery","2334 Washington Ave., Bronx, NY 10458","Term Disqualification","11/26/2018"
"Rocky's Discount C Store","913 E. Berry St. ,     Suite 101, Fort Worth, TX 76110","Permanent Disqualification","11/28/2018"
"Ryan's Convenience Store & Deli #1","43195 S. Range Road, Hammond, LA 70403","Withdrawal","11/26/2018"
"S&D Pantry","1105 W. Berwyn Ave., Chicago, IL 60640","Permanent Disqualification","11/05/2018"
"Sai Ram LLC","4801 N. 76th St., Milwaukee, WI 53218","Denial","11/13/2018"
"Samu Investment LLC","3657 Martin Luther King Jr. Drive SW, Atlanta, GA 30331","Denial","11/26/2018"
"San Rafael Mini Market IV","4260 Castor Ave., Philadelphia, PA 19124","Denial","11/30/2018"
"Shivshakti Namay Ms LLC","3975 Highway 82 W, Leland, MS 38756","Denial","11/05/2018"
"Shop Quik Stores LLC #5","1121 S. Washington St., Junction City, KS 66441","Withdrawal","11/08/2018"
"Silver Mini Mart","9755 Edes Ave., Oakland, CA 94603","Term Disqualification","11/08/2018"
"Slidell Seafood West","1001 Highway 190 W, Slidell, LA 70460","Withdrawal","11/26/2018"
"Smith Superette","1866 W. Ridgeway St., Jackson, MS 39213","Denial","11/28/2018"
"Sonal Food Corp. Citgo Food","643 Main St. Route 42 &amp; 52, Woodbourne, NY 12788","Term Disqualification","11/29/2018"
"Star Food #9","1220 S. Washington Ave., Titusville, FL 32780","Withdrawal","11/30/2018"
"Pump-N-Munch On Lyndale","4501 Lyndale Ave. N, Minneapolis, MN 55412","Permanent Disqualification","11/14/2018"
"Rajman Inc. Stop & Go","399 Hillside Ave., Holyoke, MA 01040","Permanent Disqualification","11/09/2018"
"Rodriguez Grocery & Deli #1","1122 Elm St., Reading, PA 19604","Permanent Disqualification","11/13/2018"
"Santiago Food Center Inc.","3680 Broadway, New York, NY 10031","Permanent Disqualification","11/15/2018"
"Shell Food Mart","2645 Wesley Chapel Road, Decatur, GA 30034","Permanent Disqualification","11/01/2018"
"Stop Zone Inc.","10915 Hanford Armona Road, Hanford, CA 93230","Permanent Disqualification","11/08/2018"
"Sugar Rush","9426 Cullen Blvd., Houston, TX 77051","Denial","11/27/2018"
"T&Y Seafood & Deli LLC","830 Canal St., Jeanerette, LA 70544","Denial","11/06/2018"
"TC Store","5050 Crozier St, Dallas, TX 75219","Civil Money Penalty","11/28/2018"
"TG Mini Mart Inc.","70105 Highway 51 S, Tangipahoa, LA 70465","Permanent Disqualification","11/16/2018"
"Texaco Food Mart","1870 Glenwood Ave. SE, Atlanta, GA 30316","Withdrawal","11/19/2018"
"The Country Store #3","808 W. Main St., Rio Grande City, TX 78582","Withdrawal","11/28/2018"
"The Market Place","408 Sparrow St., Lake Providence, LA 71254","Withdrawal","11/29/2018"
"Thrift Food Mart","2401 Brierwood Drive, Albany, GA 31705","Permanent Disqualification","11/13/2018"
"Tina's Market","1198 N. D St., San Bernardino, CA 92410","Term Disqualification","11/19/2018"
"Tower Street Shell","601 S. Tower Ave., Centralia, WA 98531","Withdrawal","11/05/2018"
"Townsend Seafood Market","2909 Townsend Blvd., Jacksonville, FL 32277","Denial","11/26/2018"
"TS Gas Inc.","900 Monterey St., Bakersfield, CA 93305","Denial","11/20/2018"
"US 31 Tobacco","50552 Indiana State Route 933, South Bend, IN 46637","Withdrawal","11/27/2018"
"V&V Deli Corp.","699 Beck St., Bronx, NY 10455","Permanent Disqualification","11/26/2018"
"Valero Food Mart","4357 Cobb Parkway North NW, Acworth, GA 30101","Withdrawal","11/30/2018"
